"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 03- 07","118.18","118.18","118.18","118.18","","2.81%"
"2022- 03- 04","114.95","114.95","114.95","114.95","","7.86%"
"2022- 03- 03","106.58","106.58","106.58","106.58","","-2.58%"
"2022- 03- 02","109.40","109.40","109.40","109.40","","7.25%"
"2022- 03- 01","102.00","102.00","102.00","102.00","","10.47%"
"2022- 02- 28","92.34","92.34","92.34","92.34","","0.45%"
"2022- 02- 25","91.93","91.93","91.93","91.93","","-0.16%"
"2022- 02- 24","92.07","92.07","92.07","92.07","","0.40%"
"2022- 02- 23","91.70","91.70","91.70","91.70","","-0.15%"
"2022- 02- 22","91.84","91.84","91.84","91.84","","1.04%"
"2022- 02- 18","90.90","90.90","90.90","90.90","","0.25%"
"2022- 02- 17","90.67","90.67","90.67","90.67","","-0.97%"
"2022- 02- 16","91.56","91.56","91.56","91.56","","0.77%"
"2022- 02- 15","90.86","90.86","90.86","90.86","","-1.89%"
"2022- 02- 14","92.61","92.61","92.61","92.61","","0.89%"
"2022- 02- 11","91.79","91.79","91.79","91.79","","2.08%"
"2022- 02- 10","89.92","89.92","89.92","89.92","","0.04%"
"2022- 02- 09","89.88","89.88","89.88","89.88","","0.67%"
"2022- 02- 08","89.28","89.28","89.28","89.28","","-1.63%"
"2022- 02- 07","90.76","90.76","90.76","90.76","","-0.33%"
"2022- 02- 04","91.06","91.06","91.06","91.06","","2.13%"
"2022- 02- 03","89.16","89.16","89.16","89.16","","1.58%"
"2022- 02- 02","87.77","87.77","87.77","87.77","","0.40%"
"2022- 02- 01","87.42","87.42","87.42","87.42","","4.76%"
"2022- 01- 31","83.45","83.45","83.45","83.45","","0.11%"
"2022- 01- 28","83.36","83.36","83.36","83.36","","0.04%"
"2022- 01- 27","83.33","83.33","83.33","83.33","","-0.07%"
"2022- 01- 26","83.39","83.39","83.39","83.39","","0.22%"
"2022- 01- 25","83.21","83.21","83.21","83.21","","0.41%"
"2022- 01- 24","82.87","82.87","82.87","82.87","","-0.50%"
"2022- 01- 21","83.29","83.29","83.29","83.29","","-0.25%"
"2022- 01- 20","83.50","83.50","83.50","83.50","","-0.07%"
"2022- 01- 19","83.56","83.56","83.56","83.56","","0.41%"
"2022- 01- 18","83.22","83.22","83.22","83.22","","1.15%"
"2022- 01- 14","82.27","82.27","82.27","82.27","","1.19%"
"2022- 01- 13","81.30","81.30","81.30","81.30","","-0.05%"
"2022- 01- 12","81.34","81.34","81.34","81.34","","0.68%"
"2022- 01- 11","80.79","80.79","80.79","80.79","","2.41%"
"2022- 01- 10","78.89","78.89","78.89","78.89","","-0.80%"
"2022- 01- 07","79.53","79.53","79.53","79.53","","-0.20%"
"2022- 01- 06","79.69","79.69","79.69","79.69","","1.12%"
"2022- 01- 05","78.81","78.81","78.81","78.81","","1.00%"
"2022- 01- 04","78.03","78.03","78.03","78.03","","1.30%"
"2022- 01- 03","77.03","77.03","77.03","77.03","","5.25%"
